S.No,QbId,Ref No (Payment No),Payment Date,Customer,Payment method,Deposit To Account Name,Invoice No,Journal No,QB Journal Id,QB Invoice Id,QB Credit Memo Id,Credit Memo No,Amount,Total,Reference No,Memo,Currency Code,Exchange Rate,REFERENCE_NO,TOTAL,CUSTOMER,QB_INVOICE_ID,ORIG_REFERENCE_NO,ORIG_TOTAL,ORIG_CUSTOMER,ORIG_QB_INVOICE_ID,MATCH_LEVEL,MATCHED_CRB_INDEX,MATCH_TYPE
2559,424516,,2024-05-23,STAY N SAVE,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,,,,,,,700.0,700.0,32971,,PHP,,32971,700.0,STAY N SAVE,,32971,700.0,STAY N SAVE,,,,
2560,424515,,2024-05-23,BIGGIES INN,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,,,,,,,700.0,700.0,32970,,PHP,,32970,700.0,BIGGIES INN,,32970,700.0,BIGGIES INN,,,,
2561,424522,,2024-05-23,SALLYS LODGING HOUSE,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,,,,,,,700.0,700.0,32976,,PHP,,32976,700.0,SALLYS LODGING HOUSE,,32976,700.0,SALLYS LODGING HOUSE,,,,
2562,424521,,2024-05-23,CAFÉ RONIQ,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,,,,,,,700.0,700.0,32975,,PHP,,32975,700.0,CAFÉ RONIQ,,32975,700.0,CAFÉ RONIQ,,,,
2563,424565,,2024-05-24,MACTAN ROCK INDUSTRIES INC.,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - CDO,36202,,,149232.0,,,9000.0,9000.0,33047,,PHP,,33047,9000.0,MACTAN ROCK INDUSTRIES INC.,149232,33047,9000.0,MACTAN ROCK INDUSTRIES INC.,149232.0,,,
2564,424569,,2024-05-31,GATCHALIAN MEDICAL CENTER,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - CDO,37118,,,153439.0,,,2100.0,2100.0,33049,,PHP,,33049,2100.0,GATCHALIAN MEDICAL CENTER,153439,33049,2100.0,GATCHALIAN MEDICAL CENTER,153439.0,,,
2565,424577,,2024-05-23,GELSHINES W.R.S.,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,37155,,,153499.0,,,4500.0,4500.0,33057,,PHP,,33057,4500.0,GELSHINES W.R.S.,153499,33057,4500.0,GELSHINES W.R.S.,153499.0,,,
2566,424576,,2024-05-23,AQUA CROSAN W.R.S.,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,37152,,,153497.0,,,4500.0,4500.0,33056,,PHP,,33056,4500.0,AQUA CROSAN W.R.S.,153497,33056,4500.0,AQUA CROSAN W.R.S.,153497.0,,,
2567,424575,,2024-05-23,VEEN KEN W.R.S.,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,37153,,,153498.0,,,4500.0,4500.0,33055,,PHP,,33055,4500.0,VEEN KEN W.R.S.,153498,33055,4500.0,VEEN KEN W.R.S.,153498.0,,,
2568,424574,,2024-05-23,DELA PAZ Y BUEN VIAJE W.R.S.,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,37170,,,153535.0,,,4500.0,4500.0,33054,,PHP,,33054,4500.0,DELA PAZ Y BUEN VIAJE W.R.S.,153535,33054,4500.0,DELA PAZ Y BUEN VIAJE W.R.S.,153535.0,,,
2569,424601,,2024-05-28,MEDELLIN WATER DISTRICT,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,,,,,,,4200.0,4200.0,33196,,PHP,,33196,4200.0,MEDELLIN WATER DISTRICT,,33196,4200.0,MEDELLIN WATER DISTRICT,,,,
2570,424669,,2024-05-31,MENDERO MEDICAL CENTER,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,,,,,,,11000.0,11000.0,33387,,PHP,,33387,11000.0,MENDERO MEDICAL CENTER,,33387,11000.0,MENDERO MEDICAL CENTER,,,,
2571,424668,,2024-05-29,J & F W.R.S.,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,,,,,,,450.0,450.0,33381,,PHP,,33381,450.0,J & F W.R.S.,,33381,450.0,J & F W.R.S.,,,,
2572,424666,,2024-05-29,WET ENERGY,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - CDO,,,,,,,450.0,450.0,33379,,PHP,,33379,450.0,WET ENERGY,,33379,450.0,WET ENERGY,,,,
2573,424665,,2024-05-29,VIP WRS,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,,,,,,,450.0,450.0,33371,,PHP,,33371,450.0,VIP WRS,,33371,450.0,VIP WRS,,,,
2574,474295,,2024-05-15,SIBNEG WATER STATION,Cash,Cash and cash equivalents:Cash on Hand,361512,,,304198.0,,,400.0,700.0,171331,,PHP,,171331,700.0,SIBNEG WATER STATION,304198,171331,700.0,SIBNEG WATER STATION,304198.0,,,
2575,474295,,,,,,100-0015271,,,585629.0,,,300.0,,,,,,,,,585629,,,,585629.0,,,
2603,478266,,2024-05-21,THE REAL AMERICAN DOUGHNUT CO. INC. (KRISPY KREME),Cash,Cash and cash equivalents:Cash on Hand,,,,,,,50.0,50.0,1914,,PHP,,1914,50.0,THE REAL AMERICAN DOUGHNUT CO. INC. (KRISPY KREME),,1914,50.0,THE REAL AMERICAN DOUGHNUT CO. INC. (KRISPY KREME),,,,
2610,481104,,2024-05-28,PINEALE RESORT & SPA,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,,,,,,,1300.0,1300.0,33228,,PHP,,33228,1300.0,PINEALE RESORT & SPA,,33228,1300.0,PINEALE RESORT & SPA,,,,
2611,481103,,2024-05-28,YY & PROPERTIES INC,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,,,,,,,650.0,650.0,33227,,PHP,,33227,650.0,YY & PROPERTIES INC,,33227,650.0,YY & PROPERTIES INC,,,,
2612,481131,,2024-05-31,DIAMOND RAMEN,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - CDO,,,,,,,650.0,650.0,33511,,PHP,,33511,650.0,DIAMOND RAMEN,,33511,650.0,DIAMOND RAMEN,,,,
2613,481128,,2024-05-29,MALATANG RESTAURANT,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - CDO,,,,,,,650.0,650.0,33505,,PHP,,33505,650.0,MALATANG RESTAURANT,,33505,650.0,MALATANG RESTAURANT,,,,
2614,481720,,2024-05-15,AQUA QUEEN PURIFIED DRINKING W.R.S.,Cash,Cash and cash equivalents:Cash on Hand,,,,,,,2250.0,2250.0,,,PHP,,,2250.0,AQUA QUEEN PURIFIED DRINKING W.R.S.,,,2250.0,AQUA QUEEN PURIFIED DRINKING W.R.S.,,,,
