MATCH_LEVEL,MATCH_TYPE,CRB_NO,CRB_CLIENT_NAME,CRB_TOTAL_AMOUNT,CRB_SI_NO,CRB_DATE,SAASANT_REFERENCE_NO,SAASANT_CUSTOMER,SAASANT_TOTAL,SAASANT_QB_INVOICE_ID,SAASANT_QbId,SAASANT_Ref No (Payment No),SAASANT_Payment Date,SAASANT_Customer,SAASANT_Payment method,SAASANT_Deposit To Account Name,SAASANT_Invoice No,SAASANT_Journal No,SAASANT_QB Journal Id,SAASANT_QB Invoice Id,SAASANT_QB Credit Memo Id,SAASANT_Credit Memo No,SAASANT_Amount,SAASANT_Total,SAASANT_Reference No,SAASANT_Memo,SAASANT_Currency Code,SAASANT_Exchange Rate
1,Reference No,4332,NOELA WRS,700.0,374138.0,2024-05-29,4332,NOELA WRS,400.0,319162,335731,,2024-05-29,NOELA WRS,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374138,,,319162.0,,,400.0,400.0,4332,,PHP,
1,Reference No,4339,SAMAHAN NG MANGINGISDA NG AGRIPA ROMBLON,4700.0,374159.0,2024-05-29,4339,SAMAHAN NG MANGINGISDA NG AGRIPA ROMBLON,2400.0,319182,335744,,2024-05-29,SAMAHAN NG MANGINGISDA NG AGRIPA ROMBLON,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374159,,,319182.0,,,2400.0,2400.0,4339,,PHP,
1,Reference No,4338,LIM-PYO PDW,700.0,374144.0,2024-05-29,4338,LIM-PYO PDW,400.0,319168,335742,,2024-05-29,LIM-PYO PDW,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374144,,,319168.0,,,400.0,400.0,4338,,PHP,
1,Reference No,4337,ABBY'S AQUA DROP,700.0,374143.0,2024-05-29,4337,ABBY'S AQUA DROP,400.0,319167,335740,,2024-05-29,ABBY'S AQUA DROP,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374143,,,319167.0,,,400.0,400.0,4337,,PHP,
1,Reference No,4336,MOLINIS WRS,700.0,374142.0,2024-05-29,4336,MOLINIS WRS,400.0,319166,335738,,2024-05-29,MOLINIS WRS,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374142,,,319166.0,,,400.0,400.0,4336,,PHP,
1,Reference No,4340,ULTRAPURE WRS,700.0,374145.0,2024-05-29,4340,ULTRAPURE WRS,400.0,319169,335746,,2024-05-29,ULTRAPURE WRS,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374145,,,319169.0,,,400.0,400.0,4340,,PHP,
1,Reference No,4346,TRESTY WRS,700.0,374153.0,2024-05-29,4346,TRESTY WRS,400.0,319176,335755,,2024-05-29,TRESTY WRS,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374153,,,319176.0,,,400.0,400.0,4346,,PHP,
1,Reference No,4345,RORO'S TUBIGAN,700.0,374150.0,2024-05-29,4345,RORO'S TUBIGAN,400.0,319174,335754,,2024-05-29,RORO'S TUBIGAN,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374150,,,319174.0,,,400.0,400.0,4345,,PHP,
1,Reference No,4344,FALLARIA WRS,700.0,374149.0,2024-05-29,4344,FALLARIA WRS,400.0,319173,335753,,2024-05-29,FALLARIA WRS,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374149,,,319173.0,,,400.0,400.0,4344,,PHP,
1,Reference No,4343,AQUA ILAYA WRS,700.0,374148.0,2024-05-29,4343,AQUA ILAYA WRS,400.0,319172,335752,,2024-05-29,AQUA ILAYA WRS,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374148,,,319172.0,,,400.0,400.0,4343,,PHP,
1,Reference No,4342,PATRIA MORAL ALKALINE WATER STATION,700.0,374147.0,2024-05-29,4342,PATRIA MORAL ALKALINE WATER STATION,400.0,319171,335751,,2024-05-29,PATRIA MORAL ALKALINE WATER STATION,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374147,,,319171.0,,,400.0,400.0,4342,,PHP,
1,Reference No,4341,ZESTY AQUAREAL REFILLING STATION,700.0,374146.0,2024-05-29,4341,ZESTY AQUAREAL REFILLING STATION,400.0,319170,335750,,2024-05-29,ZESTY AQUAREAL REFILLING STATION,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374146,,,319170.0,,,400.0,400.0,4341,,PHP,
1,Reference No,4350,BLGU - COBRADOR WATER,700.0,374156.0,2024-05-29,4350,BLGU - COBRADOR WATER,400.0,319179,335759,,2024-05-29,BLGU - COBRADOR WATER,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374156,,,319179.0,,,400.0,400.0,4350,,PHP,
1,Reference No,4349,AQUA LHAMBRE,700.0,374155.0,2024-05-29,4349,AQUA LHAMBRE,400.0,319178,335758,,2024-05-29,AQUA LHAMBRE,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374155,,,319178.0,,,400.0,400.0,4349,,PHP,
1,Reference No,4348,AQUA YURI WRS,700.0,374154.0,2024-05-29,4348,AQUA YURI WRS,400.0,319177,335757,,2024-05-29,AQUA YURI WRS,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374154,,,319177.0,,,400.0,400.0,4348,,PHP,
1,Reference No,4347,ZAIDA SPRING REFILLING STATION,700.0,374152.0,2024-05-29,4347,ZAIDA SPRING REFILLING STATION,400.0,319175,335756,,2024-05-29,ZAIDA SPRING REFILLING STATION,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374152,,,319175.0,,,400.0,400.0,4347,,PHP,
1,Reference No,4352,ROYAL CARGO INC,700.0,370674.0,2024-05-29,4352,ROYAL CARGO INC,700.0,318282,335768,,2024-05-29,ROYAL CARGO INC,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,370674,,,318282.0,,,700.0,700.0,4352,,PHP,
1,Reference No,4457,AQUA PURE WRS,700.0,374391.0,2024-05-29,4457,AQUA PURE WRS,700.0,321732,335774,,2024-05-29,AQUA PURE WRS,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374391,,,321732.0,,,400.0,700.0,4457,,PHP,
1,Reference No,4356,CRYSTAL CLEAR,550.0,372217.0,2024-05-30,4356,CRYSTAL CLEAR,550.0,,335773,,2024-05-30,Crystal Clear,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,,,,,,,550.0,550.0,4356,,PHP,
1,Reference No,4354,CENTENNIAL WATER RESOURCES VENTURE CORP,2000.0,373614.0,2024-05-29,4354,CENTENNIAL WATER RESOURCES VENTURE CORP,1960.0,320983,335772,,2024-05-29,CENTENNIAL WATER RESOURCES VENTURE CORP,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,373614,,,320983.0,,,1960.0,1960.0,4354,,PHP,
1,Reference No,4353,3G'S WATER REFILLING STATION,400.0,373616.0,2024-05-29,4353,3G'S WATER REFILLING STATION,400.0,320987,335770,,2024-05-29,3G's Water Refilling Station,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,373616,,,320987.0,,,400.0,400.0,4353,,PHP,
1,Reference No,4462,IC WRS,700.0,374396.0,2024-05-29,4462,IC WRS,400.0,321738,335779,,2024-05-29,IC WRS,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374396,,,321738.0,,,400.0,400.0,4462,,PHP,
1,Reference No,4461,MONIC WRS L-3,700.0,374395.0,2024-05-29,4461,MONIC WRS L-3,700.0,321737,335778,,2024-05-29,MONIC WRS L-3,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374395,,,321737.0,,,400.0,700.0,4461,,PHP,
1,Reference No,4460,AQUA DUBAI,700.0,374394.0,2024-05-29,4460,AQUA DUBAI,700.0,321736,335777,,2024-05-29,AQUA DUBAI,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374394,,,321736.0,,,400.0,700.0,4460,,PHP,
1,Reference No,4459,AQUA PROGRESO PDW,700.0,374393.0,2024-05-29,4459,AQUA PROGRESO PDW,700.0,321735,335776,,2024-05-29,AQUA PROGRESO PDW,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374393,,,321735.0,,,400.0,700.0,4459,,PHP,
1,Reference No,4458,MR. JOVIC BARADAS L-3,700.0,374392.0,2024-05-29,4458,MR. JOVIC BARADAS L-3,700.0,321734,335775,,2024-05-29,MR. JOVIC BARADAS L-3,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374392,,,321734.0,,,400.0,700.0,4458,,PHP,
